Codigo;Produto;Preco;Quantidade
959742;Trader Joe'sTurkey Jerky Teriyaki4 oz;43;69
41250500735;MeijerVitamin C 500 mg100 caplets;42;95
9,78067E+12;What Technology Wants;90;85
6,02652E+11;KindPlus Peanut Butter Dark Chocolate1.4 oz;20;54
88395013010;Carlson Cod Liver Oil Super 1000 mg100 soft gels;98;84
50255224003;Ritter Sport Dark Chocolate with Whole Hazelnuts3.5 oz;44;53
80432106419;RedbreastSingle Pot Still Irish Whiskey 15 Years750 ml;12;17
8,59612E+11;21st Amendment Hell or High Watermelon Wheat Beer6-12 fl oz;66;23
18200530470;Crisp melons $1.50Crisp Melon Seedless Watermelon;51;95
8,59612E+11;21st Amendment Hell or High Watermelon12 fl oz;90;15
37000138082;TidePlus Downy Clean Breeze50 fl oz, 24 loads;79;51
3,21135E+11;SafewayBlue Mint Antiseptic Mouth Rinse1 L;25;88
3,8137E+11;AveenoClear Complexion Foaming Cleanser6 fl oz;12;19
3,8137E+11;Clean & ClearEssentials Foaming Facial Cleanser Sensitive Skin8 fl oz;71;60
71249175446;l'OrealEverStrong Hydrate Shampoo8.5 fl oz;91;69
71249175453;l'OrealEverStrong Hydrate Conditioner8.5 fl oz;62;33
49022593756;Studio 35 Liquid Hand Soap Cucumber Melon7.5 fl oz;47;72
8080025111;Molton BrownRe-Charge Black Pepper Body Wash300 ml;89;75
24463061095;SrirachaHot Chili Sauce17 oz;38;47
8,47972E+11;Maldon Sea Salt Flakes8.5 oz;39;51
99482405502;365 Organic Extra Virgin Olive Oil16.9 fl oz;37;75
41224705487;Don BrunoSherry Vinegar12.7 fl oz;91;38
8,5719E+11;BINOYGrapeseed Oil6 kg;68;89
99482419271;365Crushed Red Chili Peppers1.2 oz;96;86
70501027004;NeutrogenaAlcohol-Free Toner8.5 fl oz;22;56
36000258448;Kleenex Tissues;20;39
36000258493;Kleenex Tissues100 ct;36;89
6,70535E+11;The Art Of Shaving Shaving Cream1.5 fl oz;41;28
6,70535E+11;The Art Of Shaving After-Shave Balm1 fl oz;59;12
6,70535E+11;The Art Of Shaving Pre-Shave Oil1 fl oz;16;80
36600814815;Chap Stick.15 oz;41;88
6,03084E+11;Garnier Fructis StylePure Clean Finishing Paste2 oz;51;41
3,05212E+11;Pond'sDry Skin Cream10.1 oz;64;64
74887615305;Up & UpExfoliating Cucumber Cleansing Towelettes30 ct;45;87
7,32708E+11;Viano VineyardsCabernet Sauvignon750 ml;17;55
7,29888E+12;Kiwi And Apple Infusion220 g;22;31
42100054163;Hot ShotFlying Insect Killer15 oz;33;81
35000446237;AjaxTriple Action Dish Liquid30 fl oz;51;43
76950450233;YogiYogi Peach DeTox Tea16 ct;24;81
24600010016;MortonSalt26 oz;39;62
52100050201;McCormickPure Ground Black Pepper2 oz;11;70
13562610020;Annie'sRice Pasta and Extra Cheesy Cheddar Sauce11 oz;68;33
41390000829;KikkomanGluten-Free Soy Sauce10 fl oz;35;79
77885882007;TapatioHot Sauce10 fl oz;75;24
599412;Trader Joe'sOrganic White Quinoa16 oz;16;32
48001006874;SkippyNatural Creamy Peanut Butter Spread15 oz;87;92
80000006738;StarStarKist Chunk Light Tuna In Water5 oz;38;91
21130602360;Safeway KitchensBasil Leaves0.62 oz;12;20
50428943397;CVS Crushed Red Pepper1.5 oz;30;96
52100007168;McCormickOregano Leaves.75 oz;54;92
11194365349;S&WCrushed Italian Recipe Tomatoes28 oz;85;55
81054394277;Crane Lake Pinot Grigio 2012750 ml;12;87
157919;Trader Joe'sChicken Drummellas16 oz;77;50
27000490259;Orville Redenbacher'sLight Butter Popcorn3 ct;64;100
